Upload Date,title,webpage_url,Duration,Video ID,Transcript
22/03/21,How to Increase Motivation & Drive -- Huberman Lab Podcast #12,https://www.youtube.com/watch?v=vA50EK70whE,5342,vA50EK70whE,/transcripts/vA50EK70whE/vA50EK70whE__transcript.txt
24/03/21,How to Control Stress in Real-Time -- Huberman Lab Quantal Clip,https://www.youtube.com/watch?v=PZ-GvIOhcf8,133,PZ-GvIOhcf8,/transcripts/PZ-GvIOhcf8/PZ-GvIOhcf8__transcript.txt
29/03/21,The Science of Emotions & Relationships -- Huberman Lab Podcast #13,https://www.youtube.com/watch?v=hcuMLQVAgEg,6062,hcuMLQVAgEg,/transcripts/hcuMLQVAgEg/hcuMLQVAgEg__transcript.txt
05/04/21,"Biological Influences On Sex, Sex Differences & Preferences -- Huberman Lab Podcast #14",https://www.youtube.com/watch?v=J7SrAEacyf8,5903,J7SrAEacyf8,/transcripts/J7SrAEacyf8/J7SrAEacyf8__transcript.txt
07/04/21,Reduce Anxiety & Stress with the Physiological Sigh -- Huberman Lab Quantal Clip,https://www.youtube.com/watch?v=rBdhqBGqiMc,165,rBdhqBGqiMc,/transcripts/rBdhqBGqiMc/rBdhqBGqiMc__transcript.txt
12/04/21,The Science of How to Optimize Testosterone & Estrogen -- Huberman Lab Podcast #15,https://www.youtube.com/watch?v=qJXKhu5UZwk,7367,qJXKhu5UZwk,/transcripts/qJXKhu5UZwk/qJXKhu5UZwk__transcript.txt
19/04/21,"How Our Hormones Control Our Hunger, Eating & Satiety -- Huberman Lab Podcast #16",https://www.youtube.com/watch?v=17O5mgXZ9ZU,5983,17O5mgXZ9ZU,/transcripts/17O5mgXZ9ZU/17O5mgXZ9ZU__transcript.txt
26/04/21,How to Control Your Metabolism by Thyroid & Growth Hormone -- Huberman Lab Podcast #17,https://www.youtube.com/watch?v=x7qbJeRxWGw,6361,x7qbJeRxWGw,/transcripts/x7qbJeRxWGw/x7qbJeRxWGw__transcript.txt
03/05/21,Using Cortisol & Adrenaline to Boost Our Energy & Immune System Function -- Huberman Lab Podcast #18,https://www.youtube.com/watch?v=JPX8g8ibKFc,6398,JPX8g8ibKFc,/transcripts/JPX8g8ibKFc/JPX8g8ibKFc__transcript.txt
10/05/21,Supercharge Exercise Performance & Recovery with Cooling -- Huberman Lab Podcast #19,https://www.youtube.com/watch?v=xaE9XyMMAHY,5030,xaE9XyMMAHY,/transcripts/xaE9XyMMAHY/xaE9XyMMAHY__transcript.txt
17/05/21,How to Learn Skills Faster -- Huberman Lab Podcast #20,https://www.youtube.com/watch?v=xJ0IBzCjEPk,6734,xJ0IBzCjEPk,/transcripts/xJ0IBzCjEPk/xJ0IBzCjEPk__transcript.txt
24/05/21,How to Lose Fat with Science-Based Tools -- Huberman Lab Podcast #21,https://www.youtube.com/watch?v=GqPGXG5TlZw,6834,GqPGXG5TlZw,/transcripts/GqPGXG5TlZw/GqPGXG5TlZw__transcript.txt
31/05/21,"Science of Muscle Growth, Increasing Strength & Muscular Recovery -- Huberman Lab Podcast #22",https://www.youtube.com/watch?v=XLr2RKoD-oY,7460,XLr2RKoD-oY,/transcripts/XLr2RKoD-oY/XLr2RKoD-oY__transcript.txt
07/06/21,How To Build Endurance In Your Brain & Body -- Huberman Lab Podcast #23,https://www.youtube.com/watch?v=VQLU7gpk_X8,7530,VQLU7gpk_X8,/transcripts/VQLU7gpk_X8/VQLU7gpk_X8__transcript.txt
14/06/21,"The Science of Vision, Eye Health & Seeing Better -- Huberman Lab Podcast #24",https://www.youtube.com/watch?v=ObtW353d5i0,6578,ObtW353d5i0,/transcripts/ObtW353d5i0/ObtW353d5i0__transcript.txt
21/06/21,"How Smell, Taste & Pheromone-Like Chemicals Control You -- Huberman Lab Podcast #25",https://www.youtube.com/watch?v=Mwz8JprPeMc,7180,Mwz8JprPeMc,/transcripts/Mwz8JprPeMc/Mwz8JprPeMc__transcript.txt
28/06/21,Dr. Karl Deisseroth: Understanding & Healing the Mind -- Huberman Lab Podcast #26,https://www.youtube.com/watch?v=w9MXqXBZy9U,7325,w9MXqXBZy9U,/transcripts/w9MXqXBZy9U/w9MXqXBZy9U__transcript.txt
05/07/21,"The Science of Hearing, Balance & Accelerated Learning -- Huberman Lab Podcast #27",https://www.youtube.com/watch?v=JVRyzYB9JSY,7416,JVRyzYB9JSY,/transcripts/JVRyzYB9JSY/JVRyzYB9JSY__transcript.txt
12/07/21,"Maximizing Productivity, Physical & Mental Health with Daily Tools -- Huberman Lab Podcast #28",https://www.youtube.com/watch?v=aXvDEmo6uS4,7621,aXvDEmo6uS4,/transcripts/aXvDEmo6uS4/aXvDEmo6uS4__transcript.txt
19/07/21,"Dr. Lex Fridman: Machines, Creativity & Love -- Huberman Lab Podcast #29",https://www.youtube.com/watch?v=VRvn3Oj5r3E,10998,VRvn3Oj5r3E,/transcripts/VRvn3Oj5r3E/VRvn3Oj5r3E__transcript.txt
26/07/21,How to Optimize Your Brain-Body Function & Health -- Huberman Lab Podcast #30,https://www.youtube.com/watch?v=rW9QKc-iFoY,6764,rW9QKc-iFoY,/transcripts/rW9QKc-iFoY/rW9QKc-iFoY__transcript.txt
02/08/21,Dr. Matthew Walker: The Science & Practice of Perfecting Your Sleep -- Huberman Lab Podcast #31,https://www.youtube.com/watch?v=gbQFSMayJxk,11166,gbQFSMayJxk,/transcripts/gbQFSMayJxk/gbQFSMayJxk__transcript.txt
09/08/21,How to Control Your Sense of Pain & Pleasure -- Huberman Lab Podcast #32,https://www.youtube.com/watch?v=xmhsWAqP_0Y,8171,xmhsWAqP_0Y,/transcripts/xmhsWAqP_0Y/xmhsWAqP_0Y__transcript.txt
16/08/21,Dr. Anna Lembke: Understanding & Treating Addiction -- Huberman Lab Podcast #33,https://www.youtube.com/watch?v=p3JLaF_4Tz8,7351,p3JLaF_4Tz8,/transcripts/p3JLaF_4Tz8/p3JLaF_4Tz8__transcript.txt
23/08/21,Understanding & Conquering Depression -- Huberman Lab Podcast #34,https://www.youtube.com/watch?v=Xu1FMCxoEFc,7322,Xu1FMCxoEFc,/transcripts/Xu1FMCxoEFc/Xu1FMCxoEFc__transcript.txt
30/08/21,"Dr. Robert Sapolsky: Science of Stress, Testosterone & Free Will -- Huberman Lab Podcast #35",https://www.youtube.com/watch?v=DtmwtjOoSYU,5390,DtmwtjOoSYU,/transcripts/DtmwtjOoSYU/DtmwtjOoSYU__transcript.txt
06/09/21,"Healthy Eating & Eating Disorders - Anorexia, Bulimia, Binging -- Huberman Lab Podcast #36",https://www.youtube.com/watch?v=2XGREPnlI8U,8179,2XGREPnlI8U,/transcripts/2XGREPnlI8U/2XGREPnlI8U__transcript.txt
13/09/21,ADHD & How Anyone Can Improve Their Focus -- Huberman Lab Podcast #37,https://www.youtube.com/watch?v=hFL6qRIJZ_Y,8281,hFL6qRIJZ_Y,/transcripts/hFL6qRIJZ_Y/hFL6qRIJZ_Y__transcript.txt
